Size,Bubble(ms),Heap(ms),Merge(ms),Std(ms)
100,0,0,0,0
1000,21,0,3,0
3000,233,2,10,1
5000,638,5,22,2
7000,1243,8,28,3
10000,2547,12,45,6
20000,10831,26,89,14
30000,25510,48,161,29
50000,82853,94,276,54
70000,186659,152,423,85
100000,449189,243,650,132
